"Step","cnn_dr_0.9 - val acc","cnn_dr_0.9 - val acc__MIN","cnn_dr_0.9 - val acc__MAX","cnn_dr_0.8 - val acc","cnn_dr_0.8 - val acc__MIN","cnn_dr_0.8 - val acc__MAX","cnn_dr_0.7 - val acc","cnn_dr_0.7 - val acc__MIN","cnn_dr_0.7 - val acc__MAX","cnn_dr_0.6 - val acc","cnn_dr_0.6 - val acc__MIN","cnn_dr_0.6 - val acc__MAX","cnn_dr_0.5 - val acc","cnn_dr_0.5 - val acc__MIN","cnn_dr_0.5 - val acc__MAX","cnn_dr_0.4 - val acc","cnn_dr_0.4 - val acc__MIN","cnn_dr_0.4 - val acc__MAX","cnn_dr_0.3 - val acc","cnn_dr_0.3 - val acc__MIN","cnn_dr_0.3 - val acc__MAX","cnn_dr_0.2 - val acc","cnn_dr_0.2 - val acc__MIN","cnn_dr_0.2 - val acc__MAX","cnn_dr_0.1 - val acc","cnn_dr_0.1 - val acc__MIN","cnn_dr_0.1 - val acc__MAX"
"19","0.40919998988509176","0.40919998988509176","0.40919998988509176","0.5872999873757362","0.5872999873757362","0.5872999873757362","0.6646999868750573","0.6646999868750573","0.6646999868750573","0.7043999826908112","0.7043999826908112","0.7043999826908112","0.7404999816417694","0.7404999816417694","0.7404999816417694","0.7540999770164489","0.7540999770164489","0.7540999770164489","0.7540999799966812","0.7540999799966812","0.7540999799966812","0.7585999816656113","0.7585999816656113","0.7585999816656113","0.7577999782562256","0.7577999782562256","0.7577999782562256"
"20","0.4006999894976616","0.4006999894976616","0.4006999894976616","0.5988999852538108","0.5988999852538108","0.5988999852538108","0.6624999833106995","0.6624999833106995","0.6624999833106995","0.7098999816179276","0.7098999816179276","0.7098999816179276","0.7346999818086624","0.7346999818086624","0.7346999818086624","0.745099983215332","0.745099983215332","0.745099983215332","0.750099983215332","0.750099983215332","0.750099983215332","0.754899982213974","0.754899982213974","0.754899982213974","0.7479999828338623","0.7479999828338623","0.7479999828338623"
"21","0.4212999886274338","0.4212999886274338","0.4212999886274338","0.6005999869108201","0.6005999869108201","0.6005999869108201","0.673499984741211","0.673499984741211","0.673499984741211","0.7123999834060669","0.7123999834060669","0.7123999834060669","0.7377999806404114","0.7377999806404114","0.7377999806404114","0.7491999799013138","0.7491999799013138","0.7491999799013138","0.7549999821186065","0.7549999821186065","0.7549999821186065","0.7532999801635742","0.7532999801635742","0.7532999801635742","0.742799980044365","0.742799980044365","0.742799980044365"
"22","0.41679998993873596","0.41679998993873596","0.41679998993873596","0.5952999854087829","0.5952999854087829","0.5952999854087829","0.6703999841213226","0.6703999841213226","0.6703999841213226","0.7139999836683273","0.7139999836683273","0.7139999836683273","0.7413999837636948","0.7413999837636948","0.7413999837636948","0.7454999780654907","0.7454999780654907","0.7454999780654907","0.7578999817371368","0.7578999817371368","0.7578999817371368","0.755399980545044","0.755399980545044","0.755399980545044","0.7564999777078628","0.7564999777078628","0.7564999777078628"
"23","0.4111999905109405","0.4111999905109405","0.4111999905109405","0.6012999856472016","0.6012999856472016","0.6012999856472016","0.6734999841451645","0.6734999841451645","0.6734999841451645","0.706099984049797","0.706099984049797","0.706099984049797","0.7385999804735184","0.7385999804735184","0.7385999804735184","0.7489999800920486","0.7489999800920486","0.7489999800920486","0.7544999825954437","0.7544999825954437","0.7544999825954437","0.7514999806880951","0.7514999806880951","0.7514999806880951","0.75049997985363","0.75049997985363","0.75049997985363"
"24","0.41719998970627786","0.41719998970627786","0.41719998970627786","0.598399988412857","0.598399988412857","0.598399988412857","0.6756999832391739","0.6756999832391739","0.6756999832391739","0.714399983882904","0.714399983882904","0.714399983882904","0.7391999804973602","0.7391999804973602","0.7391999804973602","0.7504999786615372","0.7504999786615372","0.7504999786615372","0.7528999805450439","0.7528999805450439","0.7528999805450439","0.7495999819040299","0.7495999819040299","0.7495999819040299","0.7567999798059464","0.7567999798059464","0.7567999798059464"
"25","0.42709998816251754","0.42709998816251754","0.42709998816251754","0.6096999853849411","0.6096999853849411","0.6096999853849411","0.6756999838352203","0.6756999838352203","0.6756999838352203","0.709299983382225","0.709299983382225","0.709299983382225","0.7423999804258347","0.7423999804258347","0.7423999804258347","0.7519999784231186","0.7519999784231186","0.7519999784231186","0.7555999797582627","0.7555999797582627","0.7555999797582627","0.7457999819517136","0.7457999819517136","0.7457999819517136","0.7467999839782715","0.7467999839782715","0.7467999839782715"
"26","0.42019998759031296","0.42019998759031296","0.42019998759031296","0.6136999854445457","0.6136999854445457","0.6136999854445457","0.6760999846458435","0.6760999846458435","0.6760999846458435","0.7114999854564666","0.7114999854564666","0.7114999854564666","0.7467999833822251","0.7467999833822251","0.7467999833822251","0.7508999830484391","0.7508999830484391","0.7508999830484391","0.7543999820947647","0.7543999820947647","0.7543999820947647","0.7519999819993973","0.7519999819993973","0.7519999819993973","0.7485999804735184","0.7485999804735184","0.7485999804735184"
"27","0.4273999896645546","0.4273999896645546","0.4273999896645546","0.6089999857544899","0.6089999857544899","0.6089999857544899","0.6794999837875366","0.6794999837875366","0.6794999837875366","0.7205999839305878","0.7205999839305878","0.7205999839305878","0.7432999831438064","0.7432999831438064","0.7432999831438064","0.7486999815702439","0.7486999815702439","0.7486999815702439","0.7588999819755554","0.7588999819755554","0.7588999819755554","0.7525999802350998","0.7525999802350998","0.7525999802350998","0.7492999845743179","0.7492999845743179","0.7492999845743179"
"28","0.4283999890089035","0.4283999890089035","0.4283999890089035","0.6127999851107597","0.6127999851107597","0.6127999851107597","0.683699985742569","0.683699985742569","0.683699985742569","0.7194999814033508","0.7194999814033508","0.7194999814033508","0.7452999818325042","0.7452999818325042","0.7452999818325042","0.7483999806642533","0.7483999806642533","0.7483999806642533","0.7569999796152115","0.7569999796152115","0.7569999796152115","0.7502999824285507","0.7502999824285507","0.7502999824285507","0.7495999789237976","0.7495999789237976","0.7495999789237976"
