"Step","cnn_dr_0.9 - test acc","cnn_dr_0.9 - test acc__MIN","cnn_dr_0.9 - test acc__MAX","cnn_dr_0.8 - test acc","cnn_dr_0.8 - test acc__MIN","cnn_dr_0.8 - test acc__MAX","cnn_dr_0.7 - test acc","cnn_dr_0.7 - test acc__MIN","cnn_dr_0.7 - test acc__MAX","cnn_dr_0.6 - test acc","cnn_dr_0.6 - test acc__MIN","cnn_dr_0.6 - test acc__MAX","cnn_dr_0.5 - test acc","cnn_dr_0.5 - test acc__MIN","cnn_dr_0.5 - test acc__MAX","cnn_dr_0.4 - test acc","cnn_dr_0.4 - test acc__MIN","cnn_dr_0.4 - test acc__MAX","cnn_dr_0.3 - test acc","cnn_dr_0.3 - test acc__MIN","cnn_dr_0.3 - test acc__MAX","cnn_dr_0.2 - test acc","cnn_dr_0.2 - test acc__MIN","cnn_dr_0.2 - test acc__MAX","cnn_dr_0.1 - test acc","cnn_dr_0.1 - test acc__MIN","cnn_dr_0.1 - test acc__MAX"
"13","0.37219998985528946","0.37219998985528946","0.37219998985528946","0.5616999873518944","0.5616999873518944","0.5616999873518944","0.6367999875545501","0.6367999875545501","0.6367999875545501","0.6799999845027923","0.6799999845027923","0.6799999845027923","0.7195999830961227","0.7195999830961227","0.7195999830961227","0.7310999834537506","0.7310999834537506","0.7310999834537506","0.741499981880188","0.741499981880188","0.741499981880188","0.7503999817371368","0.7503999817371368","0.7503999817371368","0.7592999804019928","0.7592999804019928","0.7592999804019928"
"14","0.3902999913692474","0.3902999913692474","0.3902999913692474","0.5657999837398529","0.5657999837398529","0.5657999837398529","0.6450999850034713","0.6450999850034713","0.6450999850034713","0.6851999855041504","0.6851999855041504","0.6851999855041504","0.7195999830961227","0.7195999830961227","0.7195999830961227","0.7310999834537506","0.7310999834537506","0.7310999834537506","0.741499981880188","0.741499981880188","0.741499981880188","0.7497999829053879","0.7497999829053879","0.7497999829053879","0.7592999804019928","0.7592999804019928","0.7592999804019928"
"15","0.3902999913692474","0.3902999913692474","0.3902999913692474","0.57109998524189","0.57109998524189","0.57109998524189","0.6496999889612198","0.6496999889612198","0.6496999889612198","0.6890999841690063","0.6890999841690063","0.6890999841690063","0.7164999830722809","0.7164999830722809","0.7164999830722809","0.7310999834537506","0.7310999834537506","0.7310999834537506","0.741499981880188","0.741499981880188","0.741499981880188","0.7497999829053879","0.7497999829053879","0.7497999829053879","0.7592999804019928","0.7592999804019928","0.7592999804019928"
"16","0.3994999894499779","0.3994999894499779","0.3994999894499779","0.5778999871015549","0.5778999871015549","0.5778999871015549","0.6496999889612198","0.6496999889612198","0.6496999889612198","0.6988999831676483","0.6988999831676483","0.6988999831676483","0.7229999834299088","0.7229999834299088","0.7229999834299088","0.7310999834537506","0.7310999834537506","0.7310999834537506","0.741499981880188","0.741499981880188","0.741499981880188","0.7541999840736389","0.7541999840736389","0.7541999840736389","0.7592999804019928","0.7592999804019928","0.7592999804019928"
"17","0.40009999126195905","0.40009999126195905","0.40009999126195905","0.5778999871015549","0.5778999871015549","0.5778999871015549","0.6546999847888947","0.6546999847888947","0.6546999847888947","0.6988999831676483","0.6988999831676483","0.6988999831676483","0.7229999834299088","0.7229999834299088","0.7229999834299088","0.7445999830961227","0.7445999830961227","0.7445999830961227","0.7500999808311463","0.7500999808311463","0.7500999808311463","0.7541999840736389","0.7541999840736389","0.7541999840736389","0.7592999804019928","0.7592999804019928","0.7592999804019928"
"18","0.41799998909235003","0.41799998909235003","0.41799998909235003","0.5778999871015549","0.5778999871015549","0.5778999871015549","0.6546999847888947","0.6546999847888947","0.6546999847888947","0.6978999823331833","0.6978999823331833","0.6978999823331833","0.7229999834299088","0.7229999834299088","0.7229999834299088","0.7447999829053878","0.7447999829053878","0.7447999829053878","0.7500999808311463","0.7500999808311463","0.7500999808311463","0.7541999840736389","0.7541999840736389","0.7541999840736389","0.7592999804019928","0.7592999804019928","0.7592999804019928"
"19","0.41799998909235003","0.41799998909235003","0.41799998909235003","0.5807999894022942","0.5807999894022942","0.5807999894022942","0.6605999821424484","0.6605999821424484","0.6605999821424484","0.6978999823331833","0.6978999823331833","0.6978999823331833","0.7320999830961228","0.7320999830961228","0.7320999830961228","0.7447999829053878","0.7447999829053878","0.7447999829053878","0.7500999808311463","0.7500999808311463","0.7500999808311463","0.7529999822378158","0.7529999822378158","0.7529999822378158","0.7592999804019928","0.7592999804019928","0.7592999804019928"
"20","0.41799998909235003","0.41799998909235003","0.41799998909235003","0.5890999868512153","0.5890999868512153","0.5890999868512153","0.6605999821424484","0.6605999821424484","0.6605999821424484","0.7047999852895737","0.7047999852895737","0.7047999852895737","0.7320999830961228","0.7320999830961228","0.7320999830961228","0.7447999829053878","0.7447999829053878","0.7447999829053878","0.7500999808311463","0.7500999808311463","0.7500999808311463","0.7529999822378158","0.7529999822378158","0.7529999822378158","0.7592999804019928","0.7592999804019928","0.7592999804019928"
"21","0.42609998881816863","0.42609998881816863","0.42609998881816863","0.5951999878883362","0.5951999878883362","0.5951999878883362","0.6652999848127366","0.6652999848127366","0.6652999848127366","0.7053999835252762","0.7053999835252762","0.7053999835252762","0.7320999830961228","0.7320999830961228","0.7320999830961228","0.7447999829053878","0.7447999829053878","0.7447999829053878","0.7500999808311463","0.7500999808311463","0.7500999808311463","0.7529999822378158","0.7529999822378158","0.7529999822378158","0.7592999804019928","0.7592999804019928","0.7592999804019928"
"22","0.42609998881816863","0.42609998881816863","0.42609998881816863","0.5951999878883362","0.5951999878883362","0.5951999878883362","0.6652999848127366","0.6652999848127366","0.6652999848127366","0.7079999810457229","0.7079999810457229","0.7079999810457229","0.7307999813556671","0.7307999813556671","0.7307999813556671","0.7447999829053878","0.7447999829053878","0.7447999829053878","0.7511999851465225","0.7511999851465225","0.7511999851465225","0.7529999822378158","0.7529999822378158","0.7529999822378158","0.7592999804019928","0.7592999804019928","0.7592999804019928"
