"Step","dr_0.9 - train acc","dr_0.9 - train acc__MIN","dr_0.9 - train acc__MAX","dr_0.8 - train acc","dr_0.8 - train acc__MIN","dr_0.8 - train acc__MAX","dr_0.7 - train acc","dr_0.7 - train acc__MIN","dr_0.7 - train acc__MAX","dr_0.6 - train acc","dr_0.6 - train acc__MIN","dr_0.6 - train acc__MAX","dr_0.5 - train acc","dr_0.5 - train acc__MIN","dr_0.5 - train acc__MAX","dr_0.4 - train acc","dr_0.4 - train acc__MIN","dr_0.4 - train acc__MAX","dr_0.3 - train acc","dr_0.3 - train acc__MIN","dr_0.3 - train acc__MAX","dr_0.2 - train acc","dr_0.2 - train acc__MIN","dr_0.2 - train acc__MAX","dr_0.1 - train acc","dr_0.1 - train acc__MIN","dr_0.1 - train acc__MAX"
"11","0.40469998963177206","0.40469998963177206","0.40469998963177206","0.464374987706542","0.464374987706542","0.464374987706542","0.5027999871969223","0.5027999871969223","0.5027999871969223","0.5317249864339828","0.5317249864339828","0.5317249864339828","0.5575249856710434","0.5575249856710434","0.5575249856710434","0.5852999886125326","0.5852999886125326","0.5852999886125326","0.6135499844700099","0.6135499844700099","0.6135499844700099","0.6367499861121177","0.6367499861121177","0.6367499861121177","0.6659499840438365","0.6659499840438365","0.6659499840438365"
"12","0.40842498891055584","0.40842498891055584","0.40842498891055584","0.46767498813569547","0.46767498813569547","0.46767498813569547","0.5068999882787466","0.5068999882787466","0.5068999882787466","0.5381749872863293","0.5381749872863293","0.5381749872863293","0.5652249880880117","0.5652249880880117","0.5652249880880117","0.5959999863803387","0.5959999863803387","0.5959999863803387","0.622499987334013","0.622499987334013","0.622499987334013","0.6488999855518341","0.6488999855518341","0.6488999855518341","0.6830999834835529","0.6830999834835529","0.6830999834835529"
"13","0.4107749903947115","0.4107749903947115","0.4107749903947115","0.47089998811483386","0.47089998811483386","0.47089998811483386","0.5122499872744083","0.5122499872744083","0.5122499872744083","0.54829998716712","0.54829998716712","0.54829998716712","0.5779999865591526","0.5779999865591526","0.5779999865591526","0.6057249872386455","0.6057249872386455","0.6057249872386455","0.634299986064434","0.634299986064434","0.634299986064434","0.6638749843835831","0.6638749843835831","0.6638749843835831","0.6989999848604203","0.6989999848604203","0.6989999848604203"
"14","0.4170749893784523","0.4170749893784523","0.4170749893784523","0.4768249871581793","0.4768249871581793","0.4768249871581793","0.5172999871522188","0.5172999871522188","0.5172999871522188","0.5502249879390001","0.5502249879390001","0.5502249879390001","0.5824749868363142","0.5824749868363142","0.5824749868363142","0.6154249872267247","0.6154249872267247","0.6154249872267247","0.6458999854326248","0.6458999854326248","0.6458999854326248","0.68029998421669","0.68029998421669","0.68029998421669","0.7110499821603298","0.7110499821603298","0.7110499821603298"
"15","0.41887498922646044","0.41887498922646044","0.41887498922646044","0.4786999878287315","0.4786999878287315","0.4786999878287315","0.5221249859035015","0.5221249859035015","0.5221249859035015","0.560624986961484","0.560624986961484","0.560624986961484","0.5931499870866537","0.5931499870866537","0.5931499870866537","0.6228249876946211","0.6228249876946211","0.6228249876946211","0.654049983471632","0.654049983471632","0.654049983471632","0.6896749836206436","0.6896749836206436","0.6896749836206436","0.7292999823391437","0.7292999823391437","0.7292999823391437"
"16","0.42214998945593835","0.42214998945593835","0.42214998945593835","0.48452498771250246","0.48452498771250246","0.48452498771250246","0.5305249866843224","0.5305249866843224","0.5305249866843224","0.5654499872773886","0.5654499872773886","0.5654499872773886","0.5975249876827001","0.5975249876827001","0.5975249876827001","0.6310249871760607","0.6310249871760607","0.6310249871760607","0.6658999846875667","0.6658999846875667","0.6658999846875667","0.7030499863624573","0.7030499863624573","0.7030499863624573","0.7445499809086322","0.7445499809086322","0.7445499809086322"
"17","0.42524998806416986","0.42524998806416986","0.42524998806416986","0.493124987706542","0.493124987706542","0.493124987706542","0.5323249872773885","0.5323249872773885","0.5323249872773885","0.5700749878585338","0.5700749878585338","0.5700749878585338","0.6042999882251024","0.6042999882251024","0.6042999882251024","0.638724984973669","0.638724984973669","0.638724984973669","0.6755749848484993","0.6755749848484993","0.6755749848484993","0.7148749835789203","0.7148749835789203","0.7148749835789203","0.7571249836683274","0.7571249836683274","0.7571249836683274"
"18","0.42789998814463615","0.42789998814463615","0.42789998814463615","0.49372498773038387","0.49372498773038387","0.49372498773038387","0.5389999870210886","0.5389999870210886","0.5389999870210886","0.5733249852061272","0.5733249852061272","0.5733249852061272","0.6129999859631061","0.6129999859631061","0.6129999859631061","0.6499749848246574","0.6499749848246574","0.6499749848246574","0.6841499841213227","0.6841499841213227","0.6841499841213227","0.7219499817490578","0.7219499817490578","0.7219499817490578","0.7685499812662602","0.7685499812662602","0.7685499812662602"
"19","0.4269499886035919","0.4269499886035919","0.4269499886035919","0.4946749863028526","0.4946749863028526","0.4946749863028526","0.5415749873220921","0.5415749873220921","0.5415749873220921","0.5832499879598617","0.5832499879598617","0.5832499879598617","0.6179999849200248","0.6179999849200248","0.6179999849200248","0.6575749841332436","0.6575749841332436","0.6575749841332436","0.695124983265996","0.695124983265996","0.695124983265996","0.7397999812662601","0.7397999812662601","0.7397999812662601","0.7797499786317349","0.7797499786317349","0.7797499786317349"
"20","0.43007498890161516","0.43007498890161516","0.43007498890161516","0.49674998722970487","0.49674998722970487","0.49674998722970487","0.5453999883681536","0.5453999883681536","0.5453999883681536","0.5836749865114689","0.5836749865114689","0.5836749865114689","0.6245999854058027","0.6245999854058027","0.6245999854058027","0.6641749842464924","0.6641749842464924","0.6641749842464924","0.705524984151125","0.705524984151125","0.705524984151125","0.747974983304739","0.747974983304739","0.747974983304739","0.7921999801695346","0.7921999801695346","0.7921999801695346"
