"Step","dr_0.9 - test loss","dr_0.9 - test loss__MIN","dr_0.9 - test loss__MAX","dr_0.8 - test loss","dr_0.8 - test loss__MIN","dr_0.8 - test loss__MAX","dr_0.7 - test loss","dr_0.7 - test loss__MIN","dr_0.7 - test loss__MAX","dr_0.6 - test loss","dr_0.6 - test loss__MIN","dr_0.6 - test loss__MAX","dr_0.5 - test loss","dr_0.5 - test loss__MIN","dr_0.5 - test loss__MAX","dr_0.4 - test loss","dr_0.4 - test loss__MIN","dr_0.4 - test loss__MAX","dr_0.3 - test loss","dr_0.3 - test loss__MIN","dr_0.3 - test loss__MAX","dr_0.2 - test loss","dr_0.2 - test loss__MIN","dr_0.2 - test loss__MAX","dr_0.1 - test loss","dr_0.1 - test loss__MIN","dr_0.1 - test loss__MAX"
"12","1.5008920705318451","1.5008920705318451","1.5008920705318451","1.4033566772937776","1.4033566772937776","1.4033566772937776","1.3718715977668763","1.3718715977668763","1.3718715977668763","1.3326442110538483","1.3326442110538483","1.3326442110538483","1.3082071983814239","1.3082071983814239","1.3082071983814239","1.3260602676868438","1.3260602676868438","1.3260602676868438","1.311271378993988","1.311271378993988","1.311271378993988","1.331015499830246","1.331015499830246","1.331015499830246","1.3688393867015838","1.3688393867015838","1.3688393867015838"
"13","1.496031424999237","1.496031424999237","1.496031424999237","1.4030383229255676","1.4030383229255676","1.4030383229255676","1.3718715977668763","1.3718715977668763","1.3718715977668763","1.3202278769016267","1.3202278769016267","1.3202278769016267","1.3082071983814239","1.3082071983814239","1.3082071983814239","1.3359764063358306","1.3359764063358306","1.3359764063358306","1.31895534157753","1.31895534157753","1.31895534157753","1.331015499830246","1.331015499830246","1.331015499830246","1.3870714855194093","1.3870714855194093","1.3870714855194093"
"14","1.4934693610668182","1.4934693610668182","1.4934693610668182","1.3905164289474488","1.3905164289474488","1.3905164289474488","1.3387927961349488","1.3387927961349488","1.3387927961349488","1.32385510802269","1.32385510802269","1.32385510802269","1.3082071983814239","1.3082071983814239","1.3082071983814239","1.3174544954299927","1.3174544954299927","1.3174544954299927","1.3079887408018112","1.3079887408018112","1.3079887408018112","1.331015499830246","1.331015499830246","1.331015499830246","1.3795638108253478","1.3795638108253478","1.3795638108253478"
"15","1.482314178943634","1.482314178943634","1.482314178943634","1.3862617266178132","1.3862617266178132","1.3862617266178132","1.343777278661728","1.343777278661728","1.343777278661728","1.311267088651657","1.311267088651657","1.311267088651657","1.3082071983814239","1.3082071983814239","1.3082071983814239","1.320237199664116","1.320237199664116","1.320237199664116","1.32124382853508","1.32124382853508","1.32124382853508","1.3727776008844375","1.3727776008844375","1.3727776008844375","1.3963140404224397","1.3963140404224397","1.3963140404224397"
"16","1.4796283400058747","1.4796283400058747","1.4796283400058747","1.38192955493927","1.38192955493927","1.38192955493927","1.341386262178421","1.341386262178421","1.341386262178421","1.311267088651657","1.311267088651657","1.311267088651657","1.2891688966751098","1.2891688966751098","1.2891688966751098","1.308116284608841","1.308116284608841","1.308116284608841","1.32124382853508","1.32124382853508","1.32124382853508","1.3727776008844375","1.3727776008844375","1.3727776008844375","1.3963140404224397","1.3963140404224397","1.3963140404224397"
"17","1.4796283400058747","1.4796283400058747","1.4796283400058747","1.3750659370422362","1.3750659370422362","1.3750659370422362","1.329484956264496","1.329484956264496","1.329484956264496","1.311267088651657","1.311267088651657","1.311267088651657","1.2891688966751098","1.2891688966751098","1.2891688966751098","1.308116284608841","1.308116284608841","1.308116284608841","1.32124382853508","1.32124382853508","1.32124382853508","1.3577825558185577","1.3577825558185577","1.3577825558185577","1.3963140404224397","1.3963140404224397","1.3963140404224397"
"18","1.474068248271942","1.474068248271942","1.474068248271942","1.373549702167511","1.373549702167511","1.373549702167511","1.329484956264496","1.329484956264496","1.329484956264496","1.3052255189418793","1.3052255189418793","1.3052255189418793","1.2891688966751098","1.2891688966751098","1.2891688966751098","1.308116284608841","1.308116284608841","1.308116284608841","1.32124382853508","1.32124382853508","1.32124382853508","1.388755633831024","1.388755633831024","1.388755633831024","1.3963140404224397","1.3963140404224397","1.3963140404224397"
"19","1.4649342179298401","1.4649342179298401","1.4649342179298401","1.363463590145111","1.363463590145111","1.363463590145111","1.329484956264496","1.329484956264496","1.329484956264496","1.2940480303764343","1.2940480303764343","1.2940480303764343","1.299834635257721","1.299834635257721","1.299834635257721","1.308116284608841","1.308116284608841","1.308116284608841","1.32124382853508","1.32124382853508","1.32124382853508","1.4166757130622865","1.4166757130622865","1.4166757130622865","1.3963140404224397","1.3963140404224397","1.3963140404224397"
"20","1.4591051948070526","1.4591051948070526","1.4591051948070526","1.365490803718567","1.365490803718567","1.365490803718567","1.3142132818698884","1.3142132818698884","1.3142132818698884","1.2940480303764343","1.2940480303764343","1.2940480303764343","1.299834635257721","1.299834635257721","1.299834635257721","1.308116284608841","1.308116284608841","1.308116284608841","1.3509092116355896","1.3509092116355896","1.3509092116355896","1.4166757130622865","1.4166757130622865","1.4166757130622865","1.3963140404224397","1.3963140404224397","1.3963140404224397"
"21","1.4591051948070526","1.4591051948070526","1.4591051948070526","1.365490803718567","1.365490803718567","1.365490803718567","1.31841992020607","1.31841992020607","1.31841992020607","1.2940480303764343","1.2940480303764343","1.2940480303764343","1.303083106279373","1.303083106279373","1.303083106279373","1.308116284608841","1.308116284608841","1.308116284608841","1.3509092116355896","1.3509092116355896","1.3509092116355896","1.4166757130622865","1.4166757130622865","1.4166757130622865","1.3963140404224397","1.3963140404224397","1.3963140404224397"
"22","1.4591051948070526","1.4591051948070526","1.4591051948070526","1.365490803718567","1.365490803718567","1.365490803718567","1.31841992020607","1.31841992020607","1.31841992020607","1.2946689069271087","1.2946689069271087","1.2946689069271087","1.303083106279373","1.303083106279373","1.303083106279373","1.3134723860025406","1.3134723860025406","1.3134723860025406","1.3509092116355896","1.3509092116355896","1.3509092116355896","1.4166757130622865","1.4166757130622865","1.4166757130622865","1.3963140404224397","1.3963140404224397","1.3963140404224397"
"23","1.4481491291522979","1.4481491291522979","1.4481491291522979","1.351587737798691","1.351587737798691","1.351587737798691","1.2968235909938812","1.2968235909938812","1.2968235909938812","1.2887992626428604","1.2887992626428604","1.2887992626428604","1.303083106279373","1.303083106279373","1.303083106279373","1.3404441231489181","1.3404441231489181","1.3404441231489181","1.3509092116355896","1.3509092116355896","1.3509092116355896","1.4713385725021362","1.4713385725021362","1.4713385725021362","1.3963140404224397","1.3963140404224397","1.3963140404224397"
"24","1.4481491291522979","1.4481491291522979","1.4481491291522979","1.345761058330536","1.345761058330536","1.345761058330536","1.2968235909938812","1.2968235909938812","1.2968235909938812","1.2887992626428604","1.2887992626428604","1.2887992626428604","1.303083106279373","1.303083106279373","1.303083106279373","1.3404441231489181","1.3404441231489181","1.3404441231489181","1.3992314088344573","1.3992314088344573","1.3992314088344573","1.4713385725021362","1.4713385725021362","1.4713385725021362","1.3963140404224397","1.3963140404224397","1.3963140404224397"
"25","1.4466294181346893","1.4466294181346893","1.4466294181346893","1.3427460181713105","1.3427460181713105","1.3427460181713105","1.2968235909938812","1.2968235909938812","1.2968235909938812","1.2887992626428604","1.2887992626428604","1.2887992626428604","1.303083106279373","1.303083106279373","1.303083106279373","1.3440802991390228","1.3440802991390228","1.3440802991390228","1.3992314088344573","1.3992314088344573","1.3992314088344573","1.4713385725021362","1.4713385725021362","1.4713385725021362","1.3963140404224397","1.3963140404224397","1.3963140404224397"
