"Step","dr_0.9 - train loss","dr_0.9 - train loss__MIN","dr_0.9 - train loss__MAX","dr_0.8 - train loss","dr_0.8 - train loss__MIN","dr_0.8 - train loss__MAX","dr_0.7 - train loss","dr_0.7 - train loss__MIN","dr_0.7 - train loss__MAX","dr_0.6 - train loss","dr_0.6 - train loss__MIN","dr_0.6 - train loss__MAX","dr_0.5 - train loss","dr_0.5 - train loss__MIN","dr_0.5 - train loss__MAX","dr_0.4 - train loss","dr_0.4 - train loss__MIN","dr_0.4 - train loss__MAX","dr_0.3 - train loss","dr_0.3 - train loss__MIN","dr_0.3 - train loss__MAX","dr_0.2 - train loss","dr_0.2 - train loss__MIN","dr_0.2 - train loss__MAX","dr_0.1 - train loss","dr_0.1 - train loss__MIN","dr_0.1 - train loss__MAX"
"11","1.6876959002017975","1.6876959002017975","1.6876959002017975","1.5308134669065476","1.5308134669065476","1.5308134669065476","1.4276284009218216","1.4276284009218216","1.4276284009218216","1.3362296625971795","1.3362296625971795","1.3362296625971795","1.263311135917902","1.263311135917902","1.263311135917902","1.188891196846962","1.188891196846962","1.188891196846962","1.114191907644272","1.114191907644272","1.114191907644272","1.04494613930583","1.04494613930583","1.04494613930583","0.9585629262030124","0.9585629262030124","0.9585629262030124"
"12","1.6794160407781602","1.6794160407781602","1.6794160407781602","1.5105477660894393","1.5105477660894393","1.5105477660894393","1.4095024168491364","1.4095024168491364","1.4095024168491364","1.3239830467104912","1.3239830467104912","1.3239830467104912","1.2441912403702735","1.2441912403702735","1.2441912403702735","1.1596803511679172","1.1596803511679172","1.1596803511679172","1.086444647461176","1.086444647461176","1.086444647461176","1.0097023102641105","1.0097023102641105","1.0097023102641105","0.9209828265011311","0.9209828265011311","0.9209828265011311"
"13","1.6693394163250923","1.6693394163250923","1.6693394163250923","1.5041395792365073","1.5041395792365073","1.5041395792365073","1.3953942155838013","1.3953942155838013","1.3953942155838013","1.300577977001667","1.300577977001667","1.300577977001667","1.21460577622056","1.21460577622056","1.21460577622056","1.1383368146419526","1.1383368146419526","1.1383368146419526","1.051115457713604","1.051115457713604","1.051115457713604","0.9679154911637307","0.9679154911637307","0.9679154911637307","0.8776388071477413","0.8776388071477413","0.8776388071477413"
"14","1.6621179977059364","1.6621179977059364","1.6621179977059364","1.4945161935687066","1.4945161935687066","1.4945161935687066","1.3826323714852333","1.3826323714852333","1.3826323714852333","1.289829757064581","1.289829757064581","1.289829757064581","1.2008704976737499","1.2008704976737499","1.2008704976737499","1.1101865901052952","1.1101865901052952","1.1101865901052952","1.0244758932292461","1.0244758932292461","1.0244758932292461","0.9289877358078956","0.9289877358078956","0.9289877358078956","0.8379599843919278","0.8379599843919278","0.8379599843919278"
"15","1.6504460805654526","1.6504460805654526","1.6504460805654526","1.4830670699477195","1.4830670699477195","1.4830670699477195","1.371344048678875","1.371344048678875","1.371344048678875","1.2614542856812476","1.2614542856812476","1.2614542856812476","1.1753452906012536","1.1753452906012536","1.1753452906012536","1.084799439460039","1.084799439460039","1.084799439460039","0.9978911620378494","0.9978911620378494","0.9978911620378494","0.8994151359796524","0.8994151359796524","0.8994151359796524","0.7908933341503144","0.7908933341503144","0.7908933341503144"
"16","1.6463503044843675","1.6463503044843675","1.6463503044843675","1.473906192779541","1.473906192779541","1.473906192779541","1.349431250989437","1.349431250989437","1.349431250989437","1.2491044723987579","1.2491044723987579","1.2491044723987579","1.1569192215800286","1.1569192215800286","1.1569192215800286","1.060186798274517","1.060186798274517","1.060186798274517","0.9619271801412106","0.9619271801412106","0.9619271801412106","0.8607246406376362","0.8607246406376362","0.8607246406376362","0.7503929708898067","0.7503929708898067","0.7503929708898067"
"17","1.6394337445497513","1.6394337445497513","1.6394337445497513","1.458318659067154","1.458318659067154","1.458318659067154","1.3351749077439308","1.3351749077439308","1.3351749077439308","1.2348680536448955","1.2348680536448955","1.2348680536448955","1.1318858940899372","1.1318858940899372","1.1318858940899372","1.0384468494355679","1.0384468494355679","1.0384468494355679","0.9421498200297356","0.9421498200297356","0.9421498200297356","0.8285979534685611","0.8285979534685611","0.8285979534685611","0.7122442847490311","0.7122442847490311","0.7122442847490311"
"18","1.6302452090382575","1.6302452090382575","1.6302452090382575","1.4533241671323776","1.4533241671323776","1.4533241671323776","1.3279118591547012","1.3279118591547012","1.3279118591547012","1.2227763387560844","1.2227763387560844","1.2227763387560844","1.115071659833193","1.115071659833193","1.115071659833193","1.0128229649364948","1.0128229649364948","1.0128229649364948","0.9109341241419315","0.9109341241419315","0.9109341241419315","0.8030522175133228","0.8030522175133228","0.8030522175133228","0.6851755950599909","0.6851755950599909","0.6851755950599909"
"19","1.6281275314092636","1.6281275314092636","1.6281275314092636","1.4451061210036278","1.4451061210036278","1.4451061210036278","1.3187765130400657","1.3187765130400657","1.3187765130400657","1.2038192434608936","1.2038192434608936","1.2038192434608936","1.099376267939806","1.099376267939806","1.099376267939806","0.9939292627573013","0.9939292627573013","0.9939292627573013","0.8874947060644627","0.8874947060644627","0.8874947060644627","0.7661895733326674","0.7661895733326674","0.7661895733326674","0.6504728135466575","0.6504728135466575","0.6504728135466575"
"20","1.6138695335388185","1.6138695335388185","1.6138695335388185","1.4329228103160858","1.4329228103160858","1.4329228103160858","1.3037317064404488","1.3037317064404488","1.3037317064404488","1.1933403731882573","1.1933403731882573","1.1933403731882573","1.079523489922285","1.079523489922285","1.079523489922285","0.9713853006064892","0.9713853006064892","0.9713853006064892","0.8564679682254791","0.8564679682254791","0.8564679682254791","0.7438408791273833","0.7438408791273833","0.7438408791273833","0.618543178960681","0.618543178960681","0.618543178960681"
