"Step","cnn_dr_0.9 - test loss","cnn_dr_0.9 - test loss__MIN","cnn_dr_0.9 - test loss__MAX","cnn_dr_0.8 - test loss","cnn_dr_0.8 - test loss__MIN","cnn_dr_0.8 - test loss__MAX","cnn_dr_0.7 - test loss","cnn_dr_0.7 - test loss__MIN","cnn_dr_0.7 - test loss__MAX","cnn_dr_0.6 - test loss","cnn_dr_0.6 - test loss__MIN","cnn_dr_0.6 - test loss__MAX","cnn_dr_0.5 - test loss","cnn_dr_0.5 - test loss__MIN","cnn_dr_0.5 - test loss__MAX","cnn_dr_0.4 - test loss","cnn_dr_0.4 - test loss__MIN","cnn_dr_0.4 - test loss__MAX","cnn_dr_0.3 - test loss","cnn_dr_0.3 - test loss__MIN","cnn_dr_0.3 - test loss__MAX","cnn_dr_0.2 - test loss","cnn_dr_0.2 - test loss__MIN","cnn_dr_0.2 - test loss__MAX","cnn_dr_0.1 - test loss","cnn_dr_0.1 - test loss__MIN","cnn_dr_0.1 - test loss__MAX"
"1","2.103745710849762","2.103745710849762","2.103745710849762","1.7456461560726166","1.7456461560726166","1.7456461560726166","1.569976748228073","1.569976748228073","1.569976748228073","1.4332826399803162","1.4332826399803162","1.4332826399803162","1.4540169274806976","1.4540169274806976","1.4540169274806976","1.3563472783565522","1.3563472783565522","1.3563472783565522","1.2709631097316743","1.2709631097316743","1.2709631097316743","1.1796872740983964","1.1796872740983964","1.1796872740983964","1.1734394657611846","1.1734394657611846","1.1734394657611846"
"2","2.085487258434296","2.085487258434296","2.085487258434296","1.65983097076416","1.65983097076416","1.65983097076416","1.4402362489700318","1.4402362489700318","1.4402362489700318","1.2940215170383453","1.2940215170383453","1.2940215170383453","1.20111603975296","1.20111603975296","1.20111603975296","1.0854817074537277","1.0854817074537277","1.0854817074537277","1.0793011832237243","1.0793011832237243","1.0793011832237243","1.0036715912818908","1.0036715912818908","1.0036715912818908","0.9848258233070374","0.9848258233070374","0.9848258233070374"
"3","2.085487258434296","2.085487258434296","2.085487258434296","1.6013586807250977","1.6013586807250977","1.6013586807250977","1.3711783468723298","1.3711783468723298","1.3711783468723298","1.1854031956195832","1.1854031956195832","1.1854031956195832","1.1082550382614136","1.1082550382614136","1.1082550382614136","1.0294897085428238","1.0294897085428238","1.0294897085428238","0.9887180078029633","0.9887180078029633","0.9887180078029633","0.9148806583881378","0.9148806583881378","0.9148806583881378","0.8813021928071976","0.8813021928071976","0.8813021928071976"
"4","2.085487258434296","2.085487258434296","2.085487258434296","1.5636995887756349","1.5636995887756349","1.5636995887756349","1.314484932422638","1.314484932422638","1.314484932422638","1.1353275644779206","1.1353275644779206","1.1353275644779206","1.0437273758649825","1.0437273758649825","1.0437273758649825","0.9683407914638519","0.9683407914638519","0.9683407914638519","0.9351286721229554","0.9351286721229554","0.9351286721229554","0.8991993671655655","0.8991993671655655","0.8991993671655655","0.8616532146930694","0.8616532146930694","0.8616532146930694"
"5","2.085487258434296","2.085487258434296","2.085487258434296","1.5479814839363097","1.5479814839363097","1.5479814839363097","1.2573184740543366","1.2573184740543366","1.2573184740543366","1.1015147924423219","1.1015147924423219","1.1015147924423219","1.0002835458517074","1.0002835458517074","1.0002835458517074","0.9281695979833603","0.9281695979833603","0.9281695979833603","0.8895361322164536","0.8895361322164536","0.8895361322164536","0.8473342144489289","0.8473342144489289","0.8473342144489289","0.7941986376047134","0.7941986376047134","0.7941986376047134"
"6","2.085487258434296","2.085487258434296","2.085487258434296","1.5299308168888093","1.5299308168888093","1.5299308168888093","1.2154843425750732","1.2154843425750732","1.2154843425750732","1.063357206583023","1.063357206583023","1.063357206583023","0.9559101873636245","0.9559101873636245","0.9559101873636245","0.8879953360557556","0.8879953360557556","0.8879953360557556","0.8335670465230942","0.8335670465230942","0.8335670465230942","0.8116150671243667","0.8116150671243667","0.8116150671243667","0.7941986376047134","0.7941986376047134","0.7941986376047134"
"7","2.085487258434296","2.085487258434296","2.085487258434296","1.4766096031665803","1.4766096031665803","1.4766096031665803","1.193827335834503","1.193827335834503","1.193827335834503","1.0435676616430283","1.0435676616430283","1.0435676616430283","0.9344595831632614","0.9344595831632614","0.9344595831632614","0.8654336017370224","0.8654336017370224","0.8654336017370224","0.8335670465230942","0.8335670465230942","0.8335670465230942","0.7737119096517563","0.7737119096517563","0.7737119096517563","0.7510769274830819","0.7510769274830819","0.7510769274830819"
"8","2.0475390827655793","2.0475390827655793","2.0475390827655793","1.4319639325141906","1.4319639325141906","1.4319639325141906","1.193827335834503","1.193827335834503","1.193827335834503","0.9978545284271241","0.9978545284271241","0.9978545284271241","0.9201862651109696","0.9201862651109696","0.9201862651109696","0.848132221698761","0.848132221698761","0.848132221698761","0.8185146605968475","0.8185146605968475","0.8185146605968475","0.7727408283948898","0.7727408283948898","0.7727408283948898","0.7446233946084976","0.7446233946084976","0.7446233946084976"
"9","1.9856530845165252","1.9856530845165252","1.9856530845165252","1.423893187046051","1.423893187046051","1.423893187046051","1.1349194717407227","1.1349194717407227","1.1349194717407227","0.9769839423894883","0.9769839423894883","0.9769839423894883","0.8934452539682388","0.8934452539682388","0.8934452539682388","0.8215731328725815","0.8215731328725815","0.8215731328725815","0.8185146605968475","0.8185146605968475","0.8185146605968475","0.7665401864051818","0.7665401864051818","0.7665401864051818","0.7440350523591042","0.7440350523591042","0.7440350523591042"
"10","1.9907883036136627","1.9907883036136627","1.9907883036136627","1.4148747265338897","1.4148747265338897","1.4148747265338897","1.1280022913217544","1.1280022913217544","1.1280022913217544","0.9653269910812378","0.9653269910812378","0.9653269910812378","0.8934452539682388","0.8934452539682388","0.8934452539682388","0.8215731328725815","0.8215731328725815","0.8215731328725815","0.7834749495983124","0.7834749495983124","0.7834749495983124","0.7530568182468415","0.7530568182468415","0.7530568182468415","0.7440350523591042","0.7440350523591042","0.7440350523591042"
