"Step","dr_0.9 - test acc","dr_0.9 - test acc__MIN","dr_0.9 - test acc__MAX","dr_0.8 - test acc","dr_0.8 - test acc__MIN","dr_0.8 - test acc__MAX","dr_0.7 - test acc","dr_0.7 - test acc__MIN","dr_0.7 - test acc__MAX","dr_0.6 - test acc","dr_0.6 - test acc__MIN","dr_0.6 - test acc__MAX","dr_0.5 - test acc","dr_0.5 - test acc__MIN","dr_0.5 - test acc__MAX","dr_0.4 - test acc","dr_0.4 - test acc__MIN","dr_0.4 - test acc__MAX","dr_0.3 - test acc","dr_0.3 - test acc__MIN","dr_0.3 - test acc__MAX","dr_0.2 - test acc","dr_0.2 - test acc__MIN","dr_0.2 - test acc__MAX","dr_0.1 - test acc","dr_0.1 - test acc__MIN","dr_0.1 - test acc__MAX"
"11","0.4770999875664711","0.4770999875664711","0.4770999875664711","0.5093999853730202","0.5093999853730202","0.5093999853730202","0.5239999860525131","0.5239999860525131","0.5239999860525131","0.5286999878287315","0.5286999878287315","0.5286999878287315","0.5398999869823455","0.5398999869823455","0.5398999869823455","0.5351999858021737","0.5351999858021737","0.5351999858021737","0.5316999861598015","0.5316999861598015","0.5316999861598015","0.5358999863266944","0.5358999863266944","0.5358999863266944","0.5395999857783318","0.5395999857783318","0.5395999857783318"
"12","0.48799998819828033","0.48799998819828033","0.48799998819828033","0.5149999862909317","0.5149999862909317","0.5149999862909317","0.5239999860525131","0.5239999860525131","0.5239999860525131","0.5337999880313873","0.5337999880313873","0.5337999880313873","0.5420999866724014","0.5420999866724014","0.5420999866724014","0.5351999858021737","0.5351999858021737","0.5351999858021737","0.544899988770485","0.544899988770485","0.544899988770485","0.5399999871850014","0.5399999871850014","0.5399999871850014","0.5401999872922897","0.5401999872922897","0.5401999872922897"
"13","0.48699998766183855","0.48699998766183855","0.48699998766183855","0.5169999861717224","0.5169999861717224","0.5169999861717224","0.5239999860525131","0.5239999860525131","0.5239999860525131","0.5357999876141548","0.5357999876141548","0.5357999876141548","0.5420999866724014","0.5420999866724014","0.5420999866724014","0.5338999879360199","0.5338999879360199","0.5338999879360199","0.5476999855041504","0.5476999855041504","0.5476999855041504","0.5399999871850014","0.5399999871850014","0.5399999871850014","0.5374999877810478","0.5374999877810478","0.5374999877810478"
"14","0.49369998842477797","0.49369998842477797","0.49369998842477797","0.5181999862194061","0.5181999862194061","0.5181999862194061","0.5355999875068664","0.5355999875068664","0.5355999875068664","0.5396999853849411","0.5396999853849411","0.5396999853849411","0.5420999866724014","0.5420999866724014","0.5420999866724014","0.5458999848365784","0.5458999848365784","0.5458999848365784","0.554399986565113","0.554399986565113","0.554399986565113","0.5399999871850014","0.5399999871850014","0.5399999871850014","0.5457999908924103","0.5457999908924103","0.5457999908924103"
"15","0.4922999873757362","0.4922999873757362","0.4922999873757362","0.5204999881982804","0.5204999881982804","0.5204999881982804","0.537399984896183","0.537399984896183","0.537399984896183","0.5419999870657921","0.5419999870657921","0.5419999870657921","0.5420999866724014","0.5420999866724014","0.5420999866724014","0.5433999869227409","0.5433999869227409","0.5433999869227409","0.5537999880313873","0.5537999880313873","0.5537999880313873","0.5403999868035316","0.5403999868035316","0.5403999868035316","0.5381999862194061","0.5381999862194061","0.5381999862194061"
"16","0.4929999870061874","0.4929999870061874","0.4929999870061874","0.5223999881744384","0.5223999881744384","0.5223999881744384","0.537299988269806","0.537299988269806","0.537299988269806","0.5419999870657921","0.5419999870657921","0.5419999870657921","0.5536999887228012","0.5536999887228012","0.5536999887228012","0.5483999866247177","0.5483999866247177","0.5483999866247177","0.5537999880313873","0.5537999880313873","0.5537999880313873","0.5403999868035316","0.5403999868035316","0.5403999868035316","0.5381999862194061","0.5381999862194061","0.5381999862194061"
"17","0.4929999870061874","0.4929999870061874","0.4929999870061874","0.523399985730648","0.523399985730648","0.523399985730648","0.5385999831557274","0.5385999831557274","0.5385999831557274","0.5419999870657921","0.5419999870657921","0.5419999870657921","0.5536999887228012","0.5536999887228012","0.5536999887228012","0.5483999866247177","0.5483999866247177","0.5483999866247177","0.5537999880313873","0.5537999880313873","0.5537999880313873","0.5504999870061874","0.5504999870061874","0.5504999870061874","0.5381999862194061","0.5381999862194061","0.5381999862194061"
"18","0.49669998705387114","0.49669998705387114","0.49669998705387114","0.5266999855637551","0.5266999855637551","0.5266999855637551","0.5385999831557274","0.5385999831557274","0.5385999831557274","0.5442999848723411","0.5442999848723411","0.5442999848723411","0.5536999887228012","0.5536999887228012","0.5536999887228012","0.5483999866247177","0.5483999866247177","0.5483999866247177","0.5537999880313873","0.5537999880313873","0.5537999880313873","0.5494999891519546","0.5494999891519546","0.5494999891519546","0.5381999862194061","0.5381999862194061","0.5381999862194061"
"19","0.4923999863862991","0.4923999863862991","0.4923999863862991","0.5298999869823455","0.5298999869823455","0.5298999869823455","0.5385999831557274","0.5385999831557274","0.5385999831557274","0.5498999869823455","0.5498999869823455","0.5498999869823455","0.5512999895215035","0.5512999895215035","0.5512999895215035","0.5483999866247177","0.5483999866247177","0.5483999866247177","0.5537999880313873","0.5537999880313873","0.5537999880313873","0.5416999858617783","0.5416999858617783","0.5416999858617783","0.5381999862194061","0.5381999862194061","0.5381999862194061"
"20","0.4980999878048897","0.4980999878048897","0.4980999878048897","0.5263999870419502","0.5263999870419502","0.5263999870419502","0.5443999868631363","0.5443999868631363","0.5443999868631363","0.5498999869823455","0.5498999869823455","0.5498999869823455","0.5512999895215035","0.5512999895215035","0.5512999895215035","0.5483999866247177","0.5483999866247177","0.5483999866247177","0.5537999859452247","0.5537999859452247","0.5537999859452247","0.5416999858617783","0.5416999858617783","0.5416999858617783","0.5381999862194061","0.5381999862194061","0.5381999862194061"
