"Step","cnn_dr_0.9 - val loss","cnn_dr_0.9 - val loss__MIN","cnn_dr_0.9 - val loss__MAX","cnn_dr_0.8 - val loss","cnn_dr_0.8 - val loss__MIN","cnn_dr_0.8 - val loss__MAX","cnn_dr_0.7 - val loss","cnn_dr_0.7 - val loss__MIN","cnn_dr_0.7 - val loss__MAX","cnn_dr_0.6 - val loss","cnn_dr_0.6 - val loss__MIN","cnn_dr_0.6 - val loss__MAX","cnn_dr_0.5 - val loss","cnn_dr_0.5 - val loss__MIN","cnn_dr_0.5 - val loss__MAX","cnn_dr_0.4 - val loss","cnn_dr_0.4 - val loss__MIN","cnn_dr_0.4 - val loss__MAX","cnn_dr_0.3 - val loss","cnn_dr_0.3 - val loss__MIN","cnn_dr_0.3 - val loss__MAX","cnn_dr_0.2 - val loss","cnn_dr_0.2 - val loss__MIN","cnn_dr_0.2 - val loss__MAX","cnn_dr_0.1 - val loss","cnn_dr_0.1 - val loss__MIN","cnn_dr_0.1 - val loss__MAX"
"1","2.1060145354270934","2.1060145354270934","2.1060145354270934","1.7587194657325744","1.7587194657325744","1.7587194657325744","1.5867120337486267","1.5867120337486267","1.5867120337486267","1.452100740671158","1.452100740671158","1.452100740671158","1.4753540503978728","1.4753540503978728","1.4753540503978728","1.3752922761440276","1.3752922761440276","1.3752922761440276","1.2837169724702835","1.2837169724702835","1.2837169724702835","1.1923396110534668","1.1923396110534668","1.1923396110534668","1.1863006687164306","1.1863006687164306","1.1863006687164306"
"2","2.0903049635887148","2.0903049635887148","2.0903049635887148","1.671677680015564","1.671677680015564","1.671677680015564","1.4548959052562713","1.4548959052562713","1.4548959052562713","1.30447776556015","1.30447776556015","1.30447776556015","1.2177084225416184","1.2177084225416184","1.2177084225416184","1.0975661677122117","1.0975661677122117","1.0975661677122117","1.0737588161230087","1.0737588161230087","1.0737588161230087","1.0057296711206436","1.0057296711206436","1.0057296711206436","0.9829474174976349","0.9829474174976349","0.9829474174976349"
"3","2.1357143330574035","2.1357143330574035","2.1357143330574035","1.614325921535492","1.614325921535492","1.614325921535492","1.3875108587741851","1.3875108587741851","1.3875108587741851","1.195339184999466","1.195339184999466","1.195339184999466","1.1180168884992598","1.1180168884992598","1.1180168884992598","1.0279228657484054","1.0279228657484054","1.0279228657484054","0.9904260528087616","0.9904260528087616","0.9904260528087616","0.9176179742813111","0.9176179742813111","0.9176179742813111","0.8786817246675491","0.8786817246675491","0.8786817246675491"
"4","2.0859605407714845","2.0859605407714845","2.0859605407714845","1.5753805720806122","1.5753805720806122","1.5753805720806122","1.3313975310325623","1.3313975310325623","1.3313975310325623","1.1416831505298615","1.1416831505298615","1.1416831505298615","1.0464744514226914","1.0464744514226914","1.0464744514226914","0.9702101653814316","0.9702101653814316","0.9702101653814316","0.922749610543251","0.922749610543251","0.922749610543251","0.8892956376075745","0.8892956376075745","0.8892956376075745","0.850669401884079","0.850669401884079","0.850669401884079"
"5","2.0848983097076417","2.0848983097076417","2.0848983097076417","1.5586574113368987","1.5586574113368987","1.5586574113368987","1.2747311294078827","1.2747311294078827","1.2747311294078827","1.1075015580654144","1.1075015580654144","1.1075015580654144","1.0064076632261276","1.0064076632261276","1.0064076632261276","0.9302596187591553","0.9302596187591553","0.9302596187591553","0.8847542297840119","0.8847542297840119","0.8847542297840119","0.852662188410759","0.852662188410759","0.852662188410759","0.7894563579559326","0.7894563579559326","0.7894563579559326"
"6","2.0679587996006012","2.0679587996006012","2.0679587996006012","1.5406708717346191","1.5406708717346191","1.5406708717346191","1.2269527983665467","1.2269527983665467","1.2269527983665467","1.0676427870988845","1.0676427870988845","1.0676427870988845","0.9570819932222366","0.9570819932222366","0.9570819932222366","0.8874020421504974","0.8874020421504974","0.8874020421504974","0.8305489498376847","0.8305489498376847","0.8305489498376847","0.8111032551527023","0.8111032551527023","0.8111032551527023","0.8022495186328888","0.8022495186328888","0.8022495186328888"
"7","2.0413563418388367","2.0413563418388367","2.0413563418388367","1.487045509815216","1.487045509815216","1.487045509815216","1.2034148252010346","1.2034148252010346","1.2034148252010346","1.0454449355602264","1.0454449355602264","1.0454449355602264","0.9354467386007309","0.9354467386007309","0.9354467386007309","0.8603746569156647","0.8603746569156647","0.8603746569156647","0.828425778746605","0.828425778746605","0.828425778746605","0.7705516949295997","0.7705516949295997","0.7705516949295997","0.7481900814175606","0.7481900814175606","0.7481900814175606"
"8","2.0524423050880434","2.0524423050880434","2.0524423050880434","1.443244388103485","1.443244388103485","1.443244388103485","1.1840569519996642","1.1840569519996642","1.1840569519996642","0.9938373196125031","0.9938373196125031","0.9938373196125031","0.9144443929195404","0.9144443929195404","0.9144443929195404","0.8382895141839981","0.8382895141839981","0.8382895141839981","0.8111054569482803","0.8111054569482803","0.8111054569482803","0.7655927258729934","0.7655927258729934","0.7655927258729934","0.7330263850092887","0.7330263850092887","0.7330263850092887"
"9","1.9924299347400665","1.9924299347400665","1.9924299347400665","1.4343058693408965","1.4343058693408965","1.4343058693408965","1.1439440089464188","1.1439440089464188","1.1439440089464188","0.9752212244272233","0.9752212244272233","0.9752212244272233","0.8884273463487625","0.8884273463487625","0.8884273463487625","0.814056014418602","0.814056014418602","0.814056014418602","0.8257551687955856","0.8257551687955856","0.8257551687955856","0.7479800176620484","0.7479800176620484","0.7479800176620484","0.7293479558825493","0.7293479558825493","0.7293479558825493"
"10","1.997286616563797","1.997286616563797","1.997286616563797","1.4234474194049835","1.4234474194049835","1.4234474194049835","1.1327586632966995","1.1327586632966995","1.1327586632966995","0.9622406941652298","0.9622406941652298","0.9622406941652298","0.8801725190877915","0.8801725190877915","0.8801725190877915","0.8314369940757751","0.8314369940757751","0.8314369940757751","0.7681698662042618","0.7681698662042618","0.7681698662042618","0.7438323071599007","0.7438323071599007","0.7438323071599007","0.7325526478886605","0.7325526478886605","0.7325526478886605"
"11","1.9662790811061859","1.9662790811061859","1.9662790811061859","1.4061099326610564","1.4061099326610564","1.4061099326610564","1.1231994450092315","1.1231994450092315","1.1231994450092315","0.9722778642177582","0.9722778642177582","0.9722778642177582","0.863212240934372","0.863212240934372","0.863212240934372","0.7991752690076828","0.7991752690076828","0.7991752690076828","0.7670139825344086","0.7670139825344086","0.7670139825344086","0.7409662160277367","0.7409662160277367","0.7409662160277367","0.7252771350741386","0.7252771350741386","0.7252771350741386"
"12","1.9620203900337219","1.9620203900337219","1.9620203900337219","1.3784857511520385","1.3784857511520385","1.3784857511520385","1.1207714700698852","1.1207714700698852","1.1207714700698852","0.9514467817544937","0.9514467817544937","0.9514467817544937","0.8464097905158997","0.8464097905158997","0.8464097905158997","0.7837243974208832","0.7837243974208832","0.7837243974208832","0.7628382557630539","0.7628382557630539","0.7628382557630539","0.7327558493614197","0.7327558493614197","0.7327558493614197","0.722694918513298","0.722694918513298","0.722694918513298"
"13","1.938845465183258","1.938845465183258","1.938845465183258","1.377382172346115","1.377382172346115","1.377382172346115","1.1022254395484925","1.1022254395484925","1.1022254395484925","0.9477438932657242","0.9477438932657242","0.9477438932657242","0.8299386465549469","0.8299386465549469","0.8299386465549469","0.77163878262043","0.77163878262043","0.77163878262043","0.7458702230453491","0.7458702230453491","0.7458702230453491","0.7277118080854416","0.7277118080854416","0.7277118080854416","0.7478346249461174","0.7478346249461174","0.7478346249461174"
"14","1.9170674121379851","1.9170674121379851","1.9170674121379851","1.353647164106369","1.353647164106369","1.353647164106369","1.080498531460762","1.080498531460762","1.080498531460762","0.9303143215179444","0.9303143215179444","0.9303143215179444","0.851562865972519","0.851562865972519","0.851562865972519","0.7811150485277176","0.7811150485277176","0.7811150485277176","0.7451240545511246","0.7451240545511246","0.7451240545511246","0.7289605447649956","0.7289605447649956","0.7289605447649956","0.7985312762856484","0.7985312762856484","0.7985312762856484"
