"Step","cnn_dr_0.9 - train loss","cnn_dr_0.9 - train loss__MIN","cnn_dr_0.9 - train loss__MAX","cnn_dr_0.8 - train loss","cnn_dr_0.8 - train loss__MIN","cnn_dr_0.8 - train loss__MAX","cnn_dr_0.7 - train loss","cnn_dr_0.7 - train loss__MIN","cnn_dr_0.7 - train loss__MAX","cnn_dr_0.6 - train loss","cnn_dr_0.6 - train loss__MIN","cnn_dr_0.6 - train loss__MAX","cnn_dr_0.5 - train loss","cnn_dr_0.5 - train loss__MIN","cnn_dr_0.5 - train loss__MAX","cnn_dr_0.4 - train loss","cnn_dr_0.4 - train loss__MIN","cnn_dr_0.4 - train loss__MAX","cnn_dr_0.3 - train loss","cnn_dr_0.3 - train loss__MIN","cnn_dr_0.3 - train loss__MAX","cnn_dr_0.2 - train loss","cnn_dr_0.2 - train loss__MIN","cnn_dr_0.2 - train loss__MAX","cnn_dr_0.1 - train loss","cnn_dr_0.1 - train loss__MIN","cnn_dr_0.1 - train loss__MAX"
"1","2.846535566449165","2.846535566449165","2.846535566449165","2.4824709171056747","2.4824709171056747","2.4824709171056747","2.1818638160824775","2.1818638160824775","2.1818638160824775","2.012086399793625","2.012086399793625","2.012086399793625","1.9362234473228455","1.9362234473228455","1.9362234473228455","1.7654249945282936","1.7654249945282936","1.7654249945282936","1.7021651610732078","1.7021651610732078","1.7021651610732078","1.604693061709404","1.604693061709404","1.604693061709404","1.5261847884953021","1.5261847884953021","1.5261847884953021"
"2","2.1745931950211523","2.1745931950211523","2.1745931950211523","1.9265582662820817","1.9265582662820817","1.9265582662820817","1.75493168592453","1.75493168592453","1.75493168592453","1.6015508580207825","1.6015508580207825","1.6015508580207825","1.5274413040280341","1.5274413040280341","1.5274413040280341","1.3552610486745835","1.3552610486745835","1.3552610486745835","1.271783762872219","1.271783762872219","1.271783762872219","1.1909573191404343","1.1909573191404343","1.1909573191404343","1.1097804006934167","1.1097804006934167","1.1097804006934167"
"3","2.0934348845481874","2.0934348845481874","2.0934348845481874","1.8011467045545577","1.8011467045545577","1.8011467045545577","1.6116896179318427","1.6116896179318427","1.6116896179318427","1.441988126039505","1.441988126039505","1.441988126039505","1.3456931927800178","1.3456931927800178","1.3456931927800178","1.2028696431219579","1.2028696431219579","1.2028696431219579","1.1210211174190043","1.1210211174190043","1.1210211174190043","1.0341348791122436","1.0341348791122436","1.0341348791122436","0.9561533467471599","0.9561533467471599","0.9561533467471599"
"4","2.0485148546099663","2.0485148546099663","2.0485148546099663","1.7387727037072183","1.7387727037072183","1.7387727037072183","1.527677727341652","1.527677727341652","1.527677727341652","1.3480832478404046","1.3480832478404046","1.3480832478404046","1.2301575139164924","1.2301575139164924","1.2301575139164924","1.1062129630148412","1.1062129630148412","1.1062129630148412","1.0156163281202317","1.0156163281202317","1.0156163281202317","0.9202833418548108","0.9202833418548108","0.9202833418548108","0.8446682299673557","0.8446682299673557","0.8446682299673557"
"5","2.013907325565815","2.013907325565815","2.013907325565815","1.7026555594801902","1.7026555594801902","1.7026555594801902","1.4736918354034423","1.4736918354034423","1.4736918354034423","1.2839927211403848","1.2839927211403848","1.2839927211403848","1.1625992779433727","1.1625992779433727","1.1625992779433727","1.0442877653241158","1.0442877653241158","1.0442877653241158","0.9553361417353153","0.9553361417353153","0.9553361417353153","0.855864313095808","0.855864313095808","0.855864313095808","0.7662442909926176","0.7662442909926176","0.7662442909926176"
"6","1.9932824096083641","1.9932824096083641","1.9932824096083641","1.659784855246544","1.659784855246544","1.659784855246544","1.429610124528408","1.429610124528408","1.429610124528408","1.2376526181399823","1.2376526181399823","1.2376526181399823","1.1153329873085023","1.1153329873085023","1.1153329873085023","0.9939366766810417","0.9939366766810417","0.9939366766810417","0.9017895862460137","0.9017895862460137","0.9017895862460137","0.7954076346755028","0.7954076346755028","0.7954076346755028","0.7050258277356625","0.7050258277356625","0.7050258277356625"
"7","1.9681335577368737","1.9681335577368737","1.9681335577368737","1.634801543354988","1.634801543354988","1.634801543354988","1.3931714484095574","1.3931714484095574","1.3931714484095574","1.204202056080103","1.204202056080103","1.204202056080103","1.0698717011511325","1.0698717011511325","1.0698717011511325","0.9470836697518825","0.9470836697518825","0.9470836697518825","0.8525461047887802","0.8525461047887802","0.8525461047887802","0.7506237678229809","0.7506237678229809","0.7506237678229809","0.63631087847054","0.63631087847054","0.63631087847054"
"8","1.9532896444201469","1.9532896444201469","1.9532896444201469","1.6096588635444642","1.6096588635444642","1.6096588635444642","1.3624534228444098","1.3624534228444098","1.3624534228444098","1.1734025263786316","1.1734025263786316","1.1734025263786316","1.0310827238857747","1.0310827238857747","1.0310827238857747","0.9154339055716991","0.9154339055716991","0.9154339055716991","0.8162105377018452","0.8162105377018452","0.8162105377018452","0.6989196361601353","0.6989196361601353","0.6989196361601353","0.5922526255249977","0.5922526255249977","0.5922526255249977"
"9","1.9344752505421638","1.9344752505421638","1.9344752505421638","1.586329715847969","1.586329715847969","1.586329715847969","1.3322076311707496","1.3322076311707496","1.3322076311707496","1.1478250747919083","1.1478250747919083","1.1478250747919083","1.0024267183244229","1.0024267183244229","1.0024267183244229","0.8826695574820042","0.8826695574820042","0.8826695574820042","0.7825604195892811","0.7825604195892811","0.7825604195892811","0.6641855316609144","0.6641855316609144","0.6641855316609144","0.5521857612580061","0.5521857612580061","0.5521857612580061"
"10","1.9251066222786903","1.9251066222786903","1.9251066222786903","1.5713498470187188","1.5713498470187188","1.5713498470187188","1.3073018690943718","1.3073018690943718","1.3073018690943718","1.1200400725007058","1.1200400725007058","1.1200400725007058","0.981795153170824","0.981795153170824","0.981795153170824","0.8521765811741352","0.8521765811741352","0.8521765811741352","0.7524106768518686","0.7524106768518686","0.7524106768518686","0.6304812843352556","0.6304812843352556","0.6304812843352556","0.5039724058657885","0.5039724058657885","0.5039724058657885"
