"Step","cnn_dr_0.9 - train acc","cnn_dr_0.9 - train acc__MIN","cnn_dr_0.9 - train acc__MAX","cnn_dr_0.8 - train acc","cnn_dr_0.8 - train acc__MIN","cnn_dr_0.8 - train acc__MAX","cnn_dr_0.7 - train acc","cnn_dr_0.7 - train acc__MIN","cnn_dr_0.7 - train acc__MAX","cnn_dr_0.6 - train acc","cnn_dr_0.6 - train acc__MIN","cnn_dr_0.6 - train acc__MAX","cnn_dr_0.5 - train acc","cnn_dr_0.5 - train acc__MIN","cnn_dr_0.5 - train acc__MAX","cnn_dr_0.4 - train acc","cnn_dr_0.4 - train acc__MIN","cnn_dr_0.4 - train acc__MAX","cnn_dr_0.3 - train acc","cnn_dr_0.3 - train acc__MIN","cnn_dr_0.3 - train acc__MAX","cnn_dr_0.2 - train acc","cnn_dr_0.2 - train acc__MIN","cnn_dr_0.2 - train acc__MAX","cnn_dr_0.1 - train acc","cnn_dr_0.1 - train acc__MIN","cnn_dr_0.1 - train acc__MAX"
"11","0.32039999224245547","0.32039999224245547","0.32039999224245547","0.4587499874830246","0.4587499874830246","0.4587499874830246","0.5453249864280224","0.5453249864280224","0.5453249864280224","0.6205999870598317","0.6205999870598317","0.6205999870598317","0.6703999836742878","0.6703999836742878","0.6703999836742878","0.7141749830543995","0.7141749830543995","0.7141749830543995","0.7527999818325043","0.7527999818325043","0.7527999818325043","0.7930499798059464","0.7930499798059464","0.7930499798059464","0.8442999784648418","0.8442999784648418","0.8442999784648418"
"12","0.3225249923020601","0.3225249923020601","0.3225249923020601","0.46489998817443845","0.46489998817443845","0.46489998817443845","0.5533749882131815","0.5533749882131815","0.5533749882131815","0.6246249864250422","0.6246249864250422","0.6246249864250422","0.679874983727932","0.679874983727932","0.679874983727932","0.7237999831140042","0.7237999831140042","0.7237999831140042","0.7597999818623066","0.7597999818623066","0.7597999818623066","0.8087749786674976","0.8087749786674976","0.8087749786674976","0.8549499787390232","0.8549499787390232","0.8549499787390232"
"13","0.3301499928534031","0.3301499928534031","0.3301499928534031","0.46762498758733273","0.46762498758733273","0.46762498758733273","0.5623749852925539","0.5623749852925539","0.5623749852925539","0.6298999863862992","0.6298999863862992","0.6298999863862992","0.684574983716011","0.684574983716011","0.684574983716011","0.7283249817788601","0.7283249817788601","0.7283249817788601","0.7689999820291996","0.7689999820291996","0.7689999820291996","0.8183999784290791","0.8183999784290791","0.8183999784290791","0.8699999791383743","0.8699999791383743","0.8699999791383743"
"14","0.33379999190568926","0.33379999190568926","0.33379999190568926","0.47182498782873156","0.47182498782873156","0.47182498782873156","0.5687749882042408","0.5687749882042408","0.5687749882042408","0.6353999856114387","0.6353999856114387","0.6353999856114387","0.6912499822676181","0.6912499822676181","0.6912499822676181","0.7359499809145927","0.7359499809145927","0.7359499809145927","0.7742249810695648","0.7742249810695648","0.7742249810695648","0.8267499776184559","0.8267499776184559","0.8267499776184559","0.8769999796152115","0.8769999796152115","0.8769999796152115"
"15","0.337774992659688","0.337774992659688","0.337774992659688","0.4798749869316816","0.4798749869316816","0.4798749869316816","0.5717999866604805","0.5717999866604805","0.5717999866604805","0.6414749865233899","0.6414749865233899","0.6414749865233899","0.6939999842643738","0.6939999842643738","0.6939999842643738","0.7441999819874764","0.7441999819874764","0.7441999819874764","0.7852749781310558","0.7852749781310558","0.7852749781310558","0.8340749777853489","0.8340749777853489","0.8340749777853489","0.8871999797224999","0.8871999797224999","0.8871999797224999"
"16","0.34207499235868455","0.34207499235868455","0.34207499235868455","0.48189998731017114","0.48189998731017114","0.48189998731017114","0.5814749862998724","0.5814749862998724","0.5814749862998724","0.6480999851226806","0.6480999851226806","0.6480999851226806","0.7045249836146832","0.7045249836146832","0.7045249836146832","0.7473249812424183","0.7473249812424183","0.7473249812424183","0.7943749791383743","0.7943749791383743","0.7943749791383743","0.8448999784886837","0.8448999784886837","0.8448999784886837","0.9007749800384045","0.9007749800384045","0.9007749800384045"
"17","0.3446749919652939","0.3446749919652939","0.3446749919652939","0.4872999868541956","0.4872999868541956","0.4872999868541956","0.5810999876260757","0.5810999876260757","0.5810999876260757","0.6502499857544899","0.6502499857544899","0.6502499857544899","0.7049249839782715","0.7049249839782715","0.7049249839782715","0.7559249828755855","0.7559249828755855","0.7559249828755855","0.8014499785006046","0.8014499785006046","0.8014499785006046","0.851249977350235","0.851249977350235","0.851249977350235","0.9056499813497066","0.9056499813497066","0.9056499813497066"
"18","0.34922499280422925","0.34922499280422925","0.34922499280422925","0.49029998779296874","0.49029998779296874","0.49029998779296874","0.5855249872803688","0.5855249872803688","0.5855249872803688","0.6586249858140946","0.6586249858140946","0.6586249858140946","0.7105499824881554","0.7105499824881554","0.7105499824881554","0.7595499815046787","0.7595499815046787","0.7595499815046787","0.8043249796330929","0.8043249796330929","0.8043249796330929","0.8576249797642231","0.8576249797642231","0.8576249797642231","0.9110749807953834","0.9110749807953834","0.9110749807953834"
"19","0.349249991774559","0.349249991774559","0.349249991774559","0.49477498687803745","0.49477498687803745","0.49477498687803745","0.588549986332655","0.588549986332655","0.588549986332655","0.6600999854505062","0.6600999854505062","0.6600999854505062","0.7155499830842018","0.7155499830842018","0.7155499830842018","0.7639249804615974","0.7639249804615974","0.7639249804615974","0.8119249780476093","0.8119249780476093","0.8119249780476093","0.8636999806761742","0.8636999806761742","0.8636999806761742","0.9193749806284904","0.9193749806284904","0.9193749806284904"
"20","0.35254999179393054","0.35254999179393054","0.35254999179393054","0.5020749863237143","0.5020749863237143","0.5020749863237143","0.5925499866157771","0.5925499866157771","0.5925499866157771","0.6615999825298786","0.6615999825298786","0.6615999825298786","0.7169249826669692","0.7169249826669692","0.7169249826669692","0.7694249805808068","0.7694249805808068","0.7694249805808068","0.8156749798357487","0.8156749798357487","0.8156749798357487","0.8688999791443348","0.8688999791443348","0.8688999791443348","0.9262249839305877","0.9262249839305877","0.9262249839305877"
